Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
03-12-2010,Three Steps Above Heaven,172.85,2394.00,7.80,es,"Romance, Drama"
11-08-2021,Sinkhole,172.57,36.00,7.10,ko,"Comedy, Drama"
22-05-2010,Undisputed III: Redemption,172.36,604.00,7.50,en,"Action, Thriller"
30-10-1995,Toy Story,171.71,15127.00,8.00,en,"Animation, Adventure, Family, Comedy"
25-10-2020,Roald Dahl's The Witches,171.36,2092.00,6.50,en,"Family, Fantasy, Adventure, Comedy, Horror"
25-12-2021,El Paseo 6,170.87,5.00,3.50,es,Comedy
30-04-2021,Separation,170.57,127.00,5.70,en,"Horror, Drama"
22-04-2022,Dragon Ball Super: Super Hero,170.55,0.00,0.00,ja,"Animation, Science Fiction, Action"
25-08-2022,After Ever Happy,169.96,0.00,0.00,en,Romance
22-01-2009,Brothers,169.50,2085.00,7.10,en,"Drama, Thriller, War"
18-05-2001,Shrek,169.44,13610.00,7.70,en,"Animation, Comedy, Fantasy, Adventure, Family"
01-02-2022,Jackass Forever,169.38,49.00,7.10,en,"Action, Comedy, Documentary"
24-10-2014,Big Hero 6,169.21,13447.00,7.80,en,"Adventure, Family, Animation, Action, Comedy"
02-04-2021,Monster Pets: A Hotel Transylvania Short,169.01,295.00,7.50,en,"Animation, Comedy, Fantasy"
03-03-2015,Off Course,168.35,254.00,6.20,es,"Romance, Comedy"
10-12-2014,The Hobbit: The Battle of the Five Armies,168.03,11790.00,7.30,en,"Action, Adventure, Fantasy"
01-04-2021,Major Grom: Plague Doctor,168.02,405.00,6.80,ru,"Action, Adventure"
13-01-2021,Monster Family 2,167.91,28.00,7.10,en,"Animation, Family"
14-07-2021,Gunpowder Milkshake,167.50,525.00,6.40,en,"Action, Crime, Thriller"
18-01-1986,Beautiful Sisters: Flesh Slave,167.26,4.00,4.00,ja,"Crime, Horror"
22-01-2021,Narco Sub,166.67,183.00,6.70,en,"Action, Drama, Crime"
28-06-2007,Harry Potter and the Order of the Phoenix,166.46,16081.00,7.70,en,"Adventure, Fantasy, Mystery"
09-09-2015,Legend,165.62,2856.00,6.90,en,"Crime, Thriller"
14-09-2021,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,165.46,279.00,8.20,en,"Animation, Comedy, Mystery, Family, Fantasy"
13-08-2021,Descendants: The Royal Wedding,165.26,97.00,7.00,en,"TV Movie, Animation, Comedy, Family, Drama"
20-11-2019,Frozen II,164.81,8052.00,7.30,en,"Family, Animation, Adventure, Comedy, Fantasy"
13-08-2021,Swim,164.69,27.00,7.50,en,"Horror, Action"
27-08-2021,Mutation on Mars,164.62,22.00,6.60,zh,"Drama, Science Fiction"
03-09-2021,Zone 414,164.57,151.00,5.50,en,"Science Fiction, Thriller, Mystery"
07-07-2011,Harry Potter and the Deathly Hallows: Part 2,163.78,16964.00,8.10,en,"Fantasy, Adventure"
22-04-2015,Avengers: Age of Ultron,163.61,19473.00,7.30,en,"Action, Adventure, Science Fiction"
24-10-2017,Thor: Ragnarok,163.56,17313.00,7.60,en,"Action, Adventure, Fantasy, Science Fiction"
04-09-2019,It Chapter Two,162.98,6739.00,6.90,en,"Horror, Fantasy"
23-06-1994,The Lion King,162.05,15064.00,8.30,en,"Family, Animation, Drama"
18-11-2021,King Richard,161.55,845.00,8.00,en,"Drama, History"
21-10-2021,Last Night in Soho,161.49,1360.00,7.50,en,"Thriller, Horror, Mystery"
19-06-1992,Batman Returns,161.32,5075.00,6.90,en,"Action, Fantasy"
23-06-2010,The Twilight Saga: Eclipse,161.16,7381.00,6.20,en,"Adventure, Fantasy, Drama, Romance"
03-09-2021,Wild Indian,161.07,21.00,6.40,en,"Crime, Drama, Thriller"
01-03-2012,Project X,160.90,5048.00,6.80,en,Comedy
19-08-2021,The Protégé,160.70,531.00,6.60,en,Action
05-11-2021,Ida Red,160.58,25.00,5.90,en,"Crime, Thriller, Drama, Action"
14-01-2013,The Haunting of Helena,159.58,119.00,5.60,en,"Horror, Thriller"
30-09-2020,Vanguard,159.42,395.00,6.30,zh,"Action, Adventure, Crime"
09-07-2003,Pirates of the Caribbean: The Curse of the Black Pearl,159.25,17095.00,7.80,en,"Adventure, Fantasy, Action"
07-07-2021,"The Simpsons: The Good, the Bart, and the Loki",159.14,510.00,7.50,en,"Animation, Comedy, Family"
15-01-2021,The Marksman,158.64,1118.00,7.00,en,"Action, Thriller, Crime"
